dataset,n,d,contam,n_langevin=0_auc,n_langevin=0_ap,n_langevin=0_secs,n_langevin=10_auc,n_langevin=10_ap,n_langevin=10_secs,n_langevin=20_auc,n_langevin=20_ap,n_langevin=20_secs,n_langevin=40_auc,n_langevin=40_ap,n_langevin=40_secs
http,567498,3,0.003896048972859816,0.9937378599238884,0.3671983104298301,15.253429730015341,0.9937359212905653,0.367254514555643,18.135545626981184,0.9937375838906667,0.3672574643225465,20.632683064002777,0.9937452280106701,0.36656313909983684,24.835242872009985
magic.gamma,19020,10,0.3516298633017876,0.6810697678715817,0.5995638662626076,0.5958960159914568,0.6742114254819219,0.5931753504026056,2.7615290620015003,0.6778135824912663,0.5952932928773315,5.042434513015905,0.6794356886215813,0.5975156628223206,9.272888570005307
mammography,11183,6,0.023249575248144506,0.8812079662532835,0.27630654576663066,0.401925571000902,0.882850759512391,0.24877787772596344,2.8226584429794457,0.8901986985823843,0.33586250685672386,5.625077547010733,0.8792037267868082,0.2373877506215035,10.125862539018271
shuttle,49097,9,0.0715114976475141,0.9956272239663241,0.9085417761410857,1.3724577840184793,0.9956458772270185,0.8817632001228869,3.9770228679990396,0.9944058336977868,0.8634434056872816,6.042619413987268,0.9912990083263082,0.8288166354373436,11.298557567992248
skin,245057,3,0.20753947040892526,0.8942733165223731,0.4966338319715169,7.259806010988541,0.8995936537239018,0.5082240680434829,9.12379665998742,0.8922844540465347,0.4921583160960622,11.833062298013829,0.896387817215378,0.5011106832871239,16.939132808998693
smtp,95156,3,0.0003152717642607928,0.9561616522647156,0.11023542193125674,2.6508271470083855,0.9558977917008319,0.03734932020621124,5.2760993400006555,0.9558638016945945,0.03698796284194848,7.463398235006025,0.9561150474108027,0.036555169305222276,11.972629334020894
backdoor,95329,193,0.02443118043827167,0.8935352567210073,0.522253323631862,3.3045313580078073,0.8847013347368615,0.5117191738216169,5.948546836996684,0.8620615844171433,0.47596259252573714,8.49551801700727,0.8920881544989081,0.522867162047901,15.934599856991554
campaign,41188,62,0.11265417111780131,0.6667274678693679,0.25936710179418254,1.8652167069958523,0.671322399475607,0.24988530126190917,5.048196471994743,0.7119666408228384,0.2955335644225417,7.2495515439950395,0.6762951349052545,0.2487307933254274,11.039813506999053
census,299285,500,0.062041198189017155,0.6722186763659366,0.08856209259723063,17.43080728800851,0.6229357860122747,0.07618831500639751,20.766763018007623,0.6874540490660865,0.09470727745380922,24.084124586021062,0.6103880569371756,0.07411467469317365,30.09347207500832
InternetAds,1966,1555,0.1871820956256358,0.6185415192904173,0.2980380477223781,0.823665453994181,0.6506026554932797,0.3134939957051183,2.5665997230098583,0.6407261794634598,0.37654810904298586,4.294706954999128,0.6906731240137127,0.37400661004812297,7.803279254992958
mnist,7603,78,0.09206892016309351,0.849487800335258,0.3769824489428492,0.971066972007975,0.8485432834585378,0.38960416378598134,5.14967853698181,0.8555487262266923,0.40335231753712736,9.252412732981611,0.8337793092030381,0.3497719518631697,16.766889026010176
musk,3062,166,0.03167864141084259,1.0,0.9999999999999998,0.3713167429959867,1.0,0.9999999999999998,1.8166628910112195,1.0,0.9999999999999998,3.12007210199954,1.0,0.9999999999999998,5.7473247929883655
optdigits,5216,62,0.028757668711656442,0.5757218055007237,0.030586295532168378,0.6117256200232077,0.6253612317410185,0.03464195361756635,2.9606240400171373,0.5025358599815766,0.026079337754940875,5.078762403019937,0.5212185813922885,0.027089891560090652,10.119865248998394
SpamBase,4207,57,0.39909674352270025,0.5815511889234852,0.4281421949950361,0.5369587719906121,0.43416204265649383,0.3320278931195717,2.51783829901251,0.5392648200782564,0.40542279832478634,4.780915831011953,0.5618417382257371,0.4035503757176094,9.035960379987955
speech,3686,400,0.016549104720564298,0.44552628603730926,0.014957764997283782,0.685559050005395,0.4425822498586772,0.015550425956678202,3.364996430987958,0.4483301300169587,0.015594098927993922,4.801462318981066,0.4637060486150367,0.017435106864355572,9.766032343002735
