dataset,n,d,contam,axis_weight=0.0_auc,axis_weight=0.0_ap,axis_weight=0.0_secs,axis_weight=0.1_auc,axis_weight=0.1_ap,axis_weight=0.1_secs,axis_weight=0.25_auc,axis_weight=0.25_ap,axis_weight=0.25_secs,axis_weight=0.5_auc,axis_weight=0.5_ap,axis_weight=0.5_secs,axis_weight=1.0_auc,axis_weight=1.0_ap,axis_weight=1.0_secs
wine,129,13,0.07751937984496124,0.9747899159663866,0.6588736263736263,0.06968644598964602,0.9747899159663866,0.6188736263736263,0.06769090401940048,0.9731092436974791,0.6104220779220779,0.0742036139999982,0.9722689075630252,0.6052938727938728,0.082147781009553,0.9705882352941176,0.5867982017982017,0.0664764890098013
WPBC,198,33,0.23737373737373738,0.4896435113428209,0.22191309931667325,0.09101085300790146,0.5233197125546005,0.23422287167813555,0.09035334101645276,0.5523460617162181,0.2484827600272769,0.09939195099286735,0.581654220092997,0.2678702854477346,0.10325791902141646,0.6003945329012259,0.2838245423455669,0.12263734900625423
annthyroid,7200,6,0.07416666666666667,0.7502109761537952,0.2799465778851966,7.712371692992747,0.7639623512913088,0.2995192246245457,7.72979761598981,0.7811508678957783,0.32537857203687426,7.442597032000776,0.8034536599727389,0.36136920090122765,7.5569198509911075,0.8342637634549972,0.41372393627906384,8.250004701985745
cardio,1831,21,0.0961223375204806,0.9259406756385609,0.6011053340822828,1.5153934250120074,0.9213093930238946,0.5939242477355166,1.521213412983343,0.9139625102993683,0.5791962544271125,1.6608532940153964,0.9050707223290305,0.5514447872652923,1.4035594169981778,0.8952691568250479,0.514088005708843,1.4799470069992822
Cardiotocography,2114,21,0.22043519394512773,0.6449786970290429,0.4014493238862312,1.8648725409875624,0.6482418538272428,0.4026861024862742,1.9660771399794612,0.653360556689862,0.4032125827262203,1.8322249990014825,0.6603517334055585,0.40180231547018186,2.208003282023128,0.6680538772448852,0.3983433073994968,1.7736565509985667
fault,1941,27,0.3467284904688305,0.5078419056815145,0.33715903887246673,1.8106073919916525,0.46974093118528554,0.39756115297677563,1.7192268969956785,0.4730537027575571,0.3988905612311825,1.7706794010009617,0.473025578768263,0.3988350911279618,1.9573802320228424,0.47317908887649346,0.4035976943564018,1.7280277519894298
landsat,6435,36,0.20714840714840715,0.5487186673187309,0.2339822319453105,5.3167484879959375,0.5691863479393957,0.2433101477322778,5.4033712779928464,0.578643974988259,0.2409243051356032,4.92962845301372,0.5750312529131891,0.23285512024099453,4.945989116997225,0.5647862377197592,0.22422527841300044,5.263576122990344
letter,1600,32,0.0625,0.5985866666666667,0.11427916195026297,1.0785817940195557,0.6058399999999999,0.11760434524003432,1.0981853189878166,0.6111466666666666,0.11509024759511419,1.1408955930091906,0.6142733333333333,0.11439149570415591,1.0874095229955856,0.6124999999999999,0.09383005086142951,1.1375473710068036
PageBlocks,5393,10,0.09456703133691823,0.9030779053378467,0.4802227896150946,5.064007426000899,0.9043986138383265,0.48518773113273345,5.531787823012564,0.9059714977533098,0.4921139244271449,5.753354342014063,0.9079897041757519,0.5023955908929064,5.158148207003251,0.9108620142712008,0.5183965144233142,5.086641094996594
pendigits,6870,16,0.022707423580786028,0.9037096232136448,0.16206546656589893,5.998965654987842,0.9196617477448576,0.16765195414552714,5.974330142023973,0.9227026572871075,0.15861920076812913,6.010883120994549,0.9146129786210215,0.13203864600425252,6.020963635994121,0.8992423027275573,0.10250876937736696,6.337630098016234
satellite,6435,36,0.3163947163947164,0.761160890736464,0.7538306984725037,5.210260441002902,0.7765947208041121,0.7671393972414777,5.055138891999377,0.7833996027852375,0.762171955290671,4.999258438998368,0.7795134275471609,0.7450926077537011,5.0012920669978485,0.7685582006269509,0.7215783001580092,5.033451872994192
satimage-2,5803,36,0.0122350508357746,0.9984421532685296,0.9628039917578786,4.574620597995818,0.9974863135547409,0.9614660710251243,4.595627811999293,0.993665411871087,0.9572737017777266,4.801122328994097,0.9889132421886518,0.9360216980972341,4.553163098986261,0.9824287665981934,0.9174614600352545,4.619627672014758
thyroid,3772,6,0.024655355249204668,0.9773898353631626,0.5595135654110122,3.66434859400033,0.9795204984991831,0.591595751456482,3.583485221985029,0.9819346655092693,0.6292022960582175,3.528069354011677,0.9844832776555107,0.6743618765828671,3.586363534996053,0.9871049578105318,0.7232172650741132,3.5854169570084196
vowels,1456,12,0.034340659340659344,0.9018634423897582,0.5370663398035526,0.9117072049994022,0.8951351351351352,0.515773204763196,0.9187904529972002,0.8829302987197724,0.4719259882731211,0.9728673190111294,0.8589615931721195,0.3476386462045589,0.922578743979102,0.8182930298719772,0.21023245612709154,0.9196784509986173
Waveform,3443,21,0.02904443799012489,0.5481663176787317,0.03481215844917201,2.673712677991716,0.5364193837870176,0.03462938627749242,2.72896578500513,0.52160933293449,0.03417457686135462,2.7130078850022983,0.5023810948250076,0.0355080914196186,2.766135472978931,0.4781573437032606,0.033988229162812425,2.8392128010164015
Wilt,4819,5,0.05333056650757419,0.37122601357517776,0.038394772954580554,5.25177993401303,0.3907546181704045,0.03960217886933608,4.739513434993569,0.4147986155297441,0.041224008031540076,4.620336567022605,0.4457632583156067,0.043574934623159985,4.495508049993077,0.4868086391216904,0.04727173453843228,4.566974051005673
yeast,1484,8,0.341644204851752,0.3990822446849531,0.2987578674216007,1.1266547910054214,0.3999422617641656,0.29565223565642235,1.142267371993512,0.40636008874730234,0.29495724386749667,1.1508362730091903,0.41459889086060253,0.2957120372593219,1.123576176003553,0.42301333026472776,0.29728523705134235,1.2365398640104104
ALOI,49534,27,0.030443735615940565,0.5452703365473675,0.03539958520828418,5.777640432002954,0.5445244913757479,0.035628825000087766,5.671438214019872,0.5440775766243329,0.035612962273418744,5.90612456999952,0.5434926260101597,0.03549979583182727,5.764691691001644,0.5426031321341082,0.03534399875802168,5.798263416974805
celeba,202599,39,0.022443348683853327,0.8218610582223707,0.14841702880218047,8.775612197990995,0.8059576817680788,0.14609056162395725,8.982018964015879,0.8000431720906206,0.1425718530387973,9.586556224006927,0.7942310296037529,0.13805674551712888,9.148923528991872,0.7878589246149957,0.1319335261197496,9.301143177988706
cover,286048,10,0.009603283365029646,0.8402265159498976,0.03536685099834829,11.040175070986152,0.8488053627821416,0.034298790373660994,10.891045618016506,0.8485316832924895,0.033909837609373945,10.465968707023421,0.8494138452488451,0.03409590112624426,10.353690635995008,0.8514972351021513,0.03484711621777406,10.049175216001458
donors,619326,10,0.05927411411760527,0.9115762067542124,0.2564557047146588,19.273262382979738,0.9128893252701124,0.26034615947204187,17.51874522099388,0.9144336090432303,0.26460584425756994,19.034560985019198,0.916165595887175,0.26878579572344213,19.04698383298819,0.9171219564804015,0.2722463320471068,19.22448855699622
fraud,284807,29,0.001727485630620034,0.9365645698997835,0.029262010429606272,12.384551784023643,0.9337126646858682,0.02708456316462341,12.181848375999834,0.9289128884729221,0.024436916040883667,12.47450079000555,0.9222657324000388,0.02127023261543568,11.416028346022358,0.9128601706941045,0.017603121873781453,11.279799603973515
http,567498,3,0.003896048972859816,0.9937382463703991,0.3672586330136695,18.687265257991385,0.9937379607360216,0.36725813852262634,18.67114071000833,0.9937375838906667,0.3672574643225465,19.403708798985463,0.9937365469658682,0.3672553365896113,18.498854363017017,0.9937361205145429,0.3672546712851742,19.65447434701491
magic.gamma,19020,10,0.3516298633017876,0.6779771868360527,0.5964886513477126,4.87687712101615,0.6779433650463182,0.5960093317161786,4.813691424002172,0.6778135824912663,0.5952932928773315,4.632676788023673,0.6776554039399579,0.5943942967155729,5.233864818990696,0.6774491146657002,0.5932217074522669,5.401811276009539
mammography,11183,6,0.023249575248144506,0.8789619997323923,0.2634273611099471,4.961580481001874,0.8854039465066657,0.2951344208442272,4.981077517004451,0.8901986985823843,0.33586250685672386,4.992472513986286,0.8938342875654053,0.3813878618582345,4.724149251997005,0.8962702202128185,0.4444104767533514,4.810294974013232
shuttle,49097,9,0.0715114976475141,0.9904644506338878,0.8722068821213368,5.8263167859986424,0.9934194882594921,0.8704985152738461,5.804350060003344,0.9944058336977868,0.8634434056872816,6.257877282012487,0.9942926145596049,0.8457104014592763,6.0575460260151885,0.9893193447352875,0.7857434892956787,5.87224390800111
skin,245057,3,0.20753947040892526,0.8922844540465347,0.4921583160960622,9.63629264300107,0.8922844540465347,0.4921583160960622,10.489566114993067,0.8922844540465347,0.4921583160960622,13.713730855000904,0.8922844540465347,0.4921583160960622,16.7548356159823,0.8922844540465347,0.4921583160960622,16.840322075993754
smtp,95156,3,0.0003152717642607928,0.9557912663204592,0.12364796887915346,11.734402475995012,0.9558518876717897,0.09426587454983615,12.374984869995387,0.9558638016945945,0.03698796284194848,11.704208484996343,0.9559401916055197,0.018468138532173706,12.127214815991465,0.9561238077216884,0.01624297272140778,11.325285500002792
backdoor,95329,193,0.02443118043827167,0.853043038453903,0.45359128527808,14.453719482000452,0.8556816345563418,0.46556170777500727,13.725477400003001,0.8620615844171433,0.47596259252573714,14.763313893985469,0.8720092614394475,0.4979434093229366,12.60449590999633,0.8822304325544675,0.5076036330494214,8.497491388989147
campaign,41188,62,0.11265417111780131,0.7476334617111933,0.3076861744030873,5.2606943489809055,0.7256521566584142,0.3018662514142303,5.792853691993514,0.7119666408228384,0.2955335644225417,5.232617678993847,0.6987025063638559,0.28922837555587233,5.028619641001569,0.6857151512842817,0.2830113204194655,5.0348043059930205
census,299285,500,0.062041198189017155,0.6870929632172267,0.09470774606121607,21.665412550995825,0.6872474707804033,0.09470788049792866,21.37727299897233,0.6874540490660865,0.09470727745380922,21.299473385006422,0.6877494145036129,0.094705523122233,22.077703068003757,0.688236666782049,0.09470557641570544,22.94880574499257
InternetAds,1966,1555,0.1871820956256358,0.6415696250748217,0.3765490134681456,4.201030857017031,0.6410135631495892,0.37718227191942416,4.543122819013661,0.6407261794634598,0.37654810904298586,4.367170757002896,0.6406445556946182,0.3699219420395691,4.326789055019617,0.6403061571529629,0.35565553006454065,4.29529015001026
mnist,7603,78,0.09206892016309351,0.8632938060056704,0.41743416755297263,7.728366224997444,0.8601254113118519,0.4114384390044471,8.081293561001075,0.8555487262266923,0.40335231753712736,8.013504361995729,0.8491438504997828,0.3932859027666028,7.879468441999052,0.8396947496947497,0.38073754340323773,7.971410447004018
musk,3062,166,0.03167864141084259,1.0,0.9999999999999998,2.833491549012251,1.0,0.9999999999999998,2.8805724790145177,1.0,0.9999999999999998,2.8496792470104992,1.0,0.9999999999999998,2.9932662939827424,0.9999721840719041,0.9991267432506173,2.8750602770014666
optdigits,5216,62,0.028757668711656442,0.41380707987893145,0.02219440420290201,5.886214128986467,0.45569943413607056,0.02384827565967458,5.255086251010653,0.5025358599815766,0.026079337754940875,5.0661918700207025,0.5514238715620478,0.02893065939865725,5.083302250015549,0.5983866298197131,0.032354160637117435,5.245042805996491
SpamBase,4207,57,0.39909674352270025,0.49490824858075555,0.38359423577521584,4.276160528999753,0.5176729386087258,0.39434974082777613,4.279978948005009,0.5392648200782564,0.40542279832478634,4.299461777991382,0.560493408900717,0.4171908079717039,4.721493535995251,0.5810133179032124,0.4294385261120917,4.431773860997055
speech,3686,400,0.016549104720564298,0.44996269078575474,0.015504290094459718,5.283663684007479,0.44937478801582814,0.015547895442873428,5.000191675993847,0.4483301300169587,0.015594098927993922,4.803386040992336,0.44784624081401925,0.01575912240280812,4.835632934002206,0.4513329564725834,0.01619358705291053,4.820715028006816
