dataset,n,d,contam,spacing_k_factor=0.0_auc,spacing_k_factor=0.0_ap,spacing_k_factor=0.0_secs,spacing_k_factor=0.5_auc,spacing_k_factor=0.5_ap,spacing_k_factor=0.5_secs,spacing_k_factor=1.0_auc,spacing_k_factor=1.0_ap,spacing_k_factor=1.0_secs,spacing_k_factor=1.5_auc,spacing_k_factor=1.5_ap,spacing_k_factor=1.5_secs
satimage-2,5803,36,0.0122350508357746,0.9989950168561964,0.9675861212300778,4.105516242008889,0.9966263035294811,0.9577731052454277,4.593005875998642,0.993665411871087,0.9572737017777266,4.650261480011977,0.9891171874232134,0.9449829549827404,4.596251373004634
thyroid,3772,6,0.024655355249204668,0.9797221662034155,0.5976707449766661,3.3974932730197906,0.9821012605692875,0.6299052889390078,3.7577125490061007,0.9819346655092693,0.6292022960582175,3.5892726099991705,0.9816891569997691,0.626777972090837,3.5937735050101765
vowels,1456,12,0.034340659340659344,0.7696088193456615,0.12472734268987785,0.8783764420077205,0.9022332859174964,0.4975566205555819,0.9173244510020595,0.8829302987197724,0.4719259882731211,0.9195137720089406,0.8988477951635846,0.47178220917434077,0.9648074980068486
Waveform,3443,21,0.02904443799012489,0.5267514208794497,0.030321050537615114,2.4830753589922097,0.5483517798384685,0.03533354710215493,2.7588804659899324,0.52160933293449,0.03417457686135462,2.7268329939979594,0.531142686209991,0.03484804268098728,2.791531669005053
Wilt,4819,5,0.05333056650757419,0.4319748489040748,0.05059492873133396,4.217490133014508,0.41441565154200577,0.041201709598862525,4.531506019993685,0.4147986155297441,0.041224008031540076,4.574511458980851,0.414182802614049,0.041198039530497596,4.5033568579819985
yeast,1484,8,0.341644204851752,0.43980990796202196,0.31228646676988087,0.9867226419737563,0.40834660707111686,0.29557358268207146,1.1602696939953603,0.40636008874730234,0.29495724386749667,1.09101094698417,0.40492470812918024,0.29450542226793325,1.1420483390102163
ALOI,49534,27,0.030443735615940565,0.5440775766243329,0.035612962273418744,5.49417380001978,0.5440775766243329,0.035612962273418744,5.571780840022257,0.5440775766243329,0.035612962273418744,5.59215167700313,0.5440775766243329,0.035612962273418744,5.923034637002274
celeba,202599,39,0.022443348683853327,0.8000431720906206,0.1425718530387973,8.774013718008064,0.8000431720906206,0.1425718530387973,8.579117111017695,0.8000431720906206,0.1425718530387973,8.712610438989941,0.8000431720906206,0.1425718530387973,8.755471134994878
cover,286048,10,0.009603283365029646,0.8485316832924895,0.033909837609373945,10.441891661001137,0.8485316832924895,0.033909837609373945,10.456961299001705,0.8485316832924895,0.033909837609373945,10.417619628977263,0.8485316832924895,0.033909837609373945,10.270128343021497
donors,619326,10,0.05927411411760527,0.9144336090432303,0.26460584425756994,18.83267574600177,0.9144336090432303,0.26460584425756994,19.045946952013765,0.9144336090432303,0.26460584425756994,18.122664527996676,0.9144336090432303,0.26460584425756994,18.71826495899586
fraud,284807,29,0.001727485630620034,0.9289128884729221,0.024436916040883667,11.173878355009947,0.9289128884729221,0.024436916040883667,11.209851118997904,0.9289128884729221,0.024436916040883667,11.10885297000641,0.9289128884729221,0.024436916040883667,10.957287833007285
http,567498,3,0.003896048972859816,0.9937375838906667,0.3672574643225465,16.97382049600128,0.9937375838906667,0.3672574643225465,17.777785383019364,0.9937375838906667,0.3672574643225465,18.003800302016316,0.9937375838906667,0.3672574643225465,17.821800848003477
magic.gamma,19020,10,0.3516298633017876,0.6778135824912663,0.5952932928773315,4.558769349998329,0.6778135824912663,0.5952932928773315,4.5156931670208,0.6778135824912663,0.5952932928773315,4.59467046399368,0.6778135824912663,0.5952932928773315,4.467078973015305
mammography,11183,6,0.023249575248144506,0.8901986985823843,0.33586250685672386,4.60775453899987,0.8901986985823843,0.33586250685672386,4.545790614996804,0.8901986985823843,0.33586250685672386,4.607759773993166,0.8901986985823843,0.33586250685672386,4.573153136996552
shuttle,49097,9,0.0715114976475141,0.9944058336977868,0.8634434056872816,5.506451588997152,0.9944058336977868,0.8634434056872816,5.516177603014512,0.9944058336977868,0.8634434056872816,5.511315686977468,0.9944058336977868,0.8634434056872816,5.512335520994384
skin,245057,3,0.20753947040892526,0.8922844540465347,0.4921583160960622,9.169421441009035,0.8922844540465347,0.4921583160960622,9.590714947000379,0.8922844540465347,0.4921583160960622,9.621245377988089,0.8922844540465347,0.4921583160960622,9.57512684998801
