dataset,n,d,contam,K=256_auc,K=256_ap,K=256_secs,K=512_auc,K=512_ap,K=512_secs,K=1024_auc,K=1024_ap,K=1024_secs,K=2048_auc,K=2048_ap,K=2048_secs
PageBlocks,5393,10,0.09456703133691823,0.9152377395766828,0.5252046717245435,1.101374318008311,0.9112615597129698,0.5282595295866208,2.45529510898632,0.9059714977533098,0.4921139244271449,5.010824981000042,0.9118719205888377,0.5279852223488037,10.46940523700323
pendigits,6870,16,0.022707423580786028,0.8931958097507696,0.13261688039450628,1.319969450996723,0.8879933243204021,0.13940359153532111,2.63069665900548,0.9227026572871075,0.15861920076812913,5.658749177993741,0.9254256318599483,0.17918457185082534,11.69728552599554
satellite,6435,36,0.3163947163947164,0.7888247954192125,0.7653019991354473,1.2180397879856173,0.7824399499618373,0.7610599639699467,2.519895320991054,0.7833996027852375,0.762171955290671,4.883843905001413,0.7804532062341369,0.7641037867485361,10.962118167022709
satimage-2,5803,36,0.0122350508357746,0.9888370698721287,0.9375798715896607,1.1594422110065352,0.992132136854624,0.945874005413505,2.2986927200108767,0.993665411871087,0.9572737017777266,4.398410433001118,0.9946237087563764,0.9580526979761143,9.61478426301619
thyroid,3772,6,0.024655355249204668,0.9867220814445253,0.7029492788001511,0.7901143250055611,0.9852928711927914,0.6910084305054215,1.7053039699967485,0.9819346655092693,0.6292022960582175,3.5178292409982532,0.9809234042677563,0.6103088387159162,7.378887360013323
vowels,1456,12,0.034340659340659344,0.8682645803698436,0.33437796249683954,0.1384878369863145,0.9250213371266002,0.5744452494565462,0.38650641997810453,0.8829302987197724,0.4719259882731211,0.9794714580057189,0.9067140825035561,0.5393256172449495,2.209438567981124
Waveform,3443,21,0.02904443799012489,0.508857313790009,0.0339342008842148,0.5533784309809562,0.4873631468740652,0.02897579564749137,1.539913698012242,0.52160933293449,0.03417457686135462,2.7024285340157803,0.5501645228836374,0.035595811030955944,5.892354020004859
Wilt,4819,5,0.05333056650757419,0.41423653698203905,0.0412637529743784,1.1236776970035862,0.40976293761525173,0.04090458499933287,2.2672109710110817,0.4147986155297441,0.041224008031540076,4.7473442390037235,0.4125963593686297,0.04104325957341955,9.927584435004974
yeast,1484,8,0.341644204851752,0.40432713757648797,0.29309835922084143,0.2388636090036016,0.4078479586707285,0.29726513891622297,0.4521405079867691,0.40636008874730234,0.29495724386749667,1.3407626039988827,0.41541853155111963,0.2966121559843676,2.5411530809942633
ALOI,49534,27,0.030443735615940565,0.543390911377469,0.03491682171759781,1.3260839369904716,0.54278538724769,0.034983781073960336,2.8357674610160757,0.5440775766243329,0.035612962273418744,6.198785548011074,0.5432419605052569,0.03541835428913865,12.348896431998583
celeba,202599,39,0.022443348683853327,0.7863328643952289,0.10642275907588863,2.167007490992546,0.793858118807335,0.1517382689718994,4.474761151999701,0.8000431720906206,0.1425718530387973,9.121256156009622,0.7980027740924558,0.13498831297957642,17.927681878005387
cover,286048,10,0.009603283365029646,0.8455809863868828,0.035601756055276434,2.5028689650062006,0.8589756677005674,0.03663111507481577,5.643339845992159,0.8485316832924895,0.033909837609373945,10.54462144401623,0.8611729143123299,0.03590258437719713,21.780854576005368
donors,619326,10,0.05927411411760527,0.909507101658099,0.25004543202654317,4.924370260996511,0.913362137351158,0.26344795606076915,10.413727083010599,0.9144336090432303,0.26460584425756994,19.65803242099355,0.9167143571760088,0.26945846100145504,40.21551290201023
fraud,284807,29,0.001727485630620034,0.925608119014908,0.026756236950575545,2.7432650269765873,0.942686158101579,0.062461896439829585,6.701670948998071,0.9289128884729221,0.024436916040883667,13.67113928499748,0.940093008456068,0.04022733606353682,26.975615375995403
http,567498,3,0.003896048972859816,0.9951509755985776,0.4271140922410415,4.196007317019394,0.9937395977330415,0.3672016292557733,10.646004801004892,0.9937375838906667,0.3672574643225465,21.54136424299213,0.9937409074906766,0.3672640571674658,44.00496092898538
magic.gamma,19020,10,0.3516298633017876,0.6611827313155799,0.5782232367367398,1.2590503649844322,0.6742970257097495,0.5893835686081907,2.5753255609888583,0.6778135824912663,0.5952932928773315,5.315823508019093,0.6803680339359072,0.5998834324837817,11.50356545500108
