dataset,n,d,K_oracle_auc,K_oracle_val,axis_weight_oracle_auc,axis_weight_oracle_val,spacing_k_factor_oracle_auc,spacing_k_factor_oracle_val,n_langevin_oracle_auc,n_langevin_oracle_val,default_auc,per_knob_oracle_auc,gain_per_knob
vowels,1456,12,0.9250213371266002,512,0.9018634423897582,0.0,0.9022332859174964,0.5,0.8898150782361308,10,0.8849359886201992,0.9250213371266002,0.040085348506401
Waveform,3443,21,0.5501645228836374,2048,0.5481663176787317,0.0,0.5483517798384685,0.5,0.5657822315285671,0,0.5657822315285671,0.5657822315285671,0.0
Wilt,4819,5,0.4147986155297441,1024,0.4868086391216904,1.0,0.4319748489040748,0.0,0.4271012270200284,0,0.4271012270200284,0.4868086391216904,0.05970741210166203
yeast,1484,8,0.4154185315511196,2048,0.4230133302647277,1.0,0.4398099079620219,0.0,0.4063600887473023,20,0.3968474115706617,0.4398099079620219,0.04296249639136018
ALOI,49534,27,0.5440775766243329,1024,0.5452703365473675,0.0,0.5440775766243329,0.0,0.5440775766243329,20,0.5417643126219981,0.5452703365473675,0.0035060239253693615
celeba,202599,39,0.8000431720906206,1024,0.8218610582223707,0.0,0.8000431720906206,0.0,0.8241199684087295,10,0.7822373184000642,0.8241199684087295,0.04188265000866531
cover,286048,10,0.8611729143123299,2048,0.8514972351021513,1.0,0.8485316832924895,0.0,0.8647611661472709,10,0.855442120281774,0.8647611661472709,0.009319045865496922
donors,619326,10,0.9167143571760088,2048,0.9171219564804016,1.0,0.9144336090432305,0.0,0.9144336090432305,20,0.9091571472763708,0.9171219564804016,0.007964809204030865
fraud,284807,29,0.942686158101579,512,0.9365645698997836,0.0,0.928912888472922,0.0,0.9414207468270976,0,0.9414207468270976,0.942686158101579,0.0012654112744813206
http,567498,3,0.9951509755985776,256,0.9937382463703992,0.0,0.9937375838906668,0.0,0.99374522801067,40,0.9937378599238884,0.9951509755985776,0.0014131156746891582
magic.gamma,19020,10,0.6803680339359072,2048,0.6779771868360527,0.0,0.6778135824912663,0.0,0.6810697678715817,0,0.6810697678715817,0.6810697678715817,0.0
mammography,11183,6,0.8901986985823843,1024,0.8962702202128185,1.0,0.8901986985823843,0.0,0.8901986985823843,20,0.8812079662532835,0.8962702202128185,0.015062253959535088
shuttle,49097,9,0.995970077208317,2048,0.9944058336977868,0.25,0.9944058336977868,0.0,0.9956458772270184,10,0.995627223966324,0.995970077208317,0.00034285324199301304
skin,245057,3,0.8981661724757879,2048,0.8922844540465347,0.0,0.8922844540465347,0.0,0.8995936537239018,10,0.8942733165223731,0.8995936537239018,0.005320337201528691
smtp,95156,3,0.9563769807062912,256,0.9561238077216884,1.0,0.9558638016945944,0.0,0.9561616522647156,0,0.9561616522647156,0.9563769807062912,0.00021532844157556852
backdoor,95329,193,0.889732096935784,2048,0.8822304325544675,1.0,0.8620615844171433,0.0,0.8935352567210073,0,0.8935352567210073,0.8935352567210073,0.0
campaign,41188,62,0.7119666408228384,1024,0.7476334617111933,0.0,0.7119666408228384,0.0,0.7119666408228384,20,0.6667274678693679,0.7476334617111933,0.0809059938418254
census,299285,500,0.6954733024526227,2048,0.688236666782049,1.0,0.6874540490660865,0.0,0.6874540490660865,20,0.6722186763659366,0.6954733024526227,0.02325462608668616
InternetAds,1966,1555,0.6734369048266855,2048,0.6415696250748217,0.0,0.6407261794634598,0.0,0.6906731240137127,40,0.6185415192904173,0.6906731240137127,0.07213160472329538
mnist,7603,78,0.8555487262266923,1024,0.8632938060056704,0.0,0.8559077833654104,1.5,0.8555487262266923,20,0.849487800335258,0.8632938060056704,0.013806005670412458
musk,3062,166,1.0,256,1.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0
optdigits,5216,62,0.5842716146861431,256,0.5983866298197131,1.0,0.6399802605606002,0.0,0.6253612317410185,10,0.5757218055007237,0.6399802605606002,0.06425845505987648
SpamBase,4207,57,0.6393326252817756,2048,0.5810133179032124,1.0,0.5397553358313041,1.5,0.5815511889234852,0,0.5815511889234852,0.6393326252817756,0.05778143635829036
speech,3686,400,0.4817546636517806,256,0.4513329564725834,1.0,0.4493521763708309,1.5,0.4637060486150367,40,0.4455262860373092,0.4817546636517806,0.036228377614471396
